zwemwaterlocatie_id,naam,latitude,longitude
1561,Harderstrand Noord,52.3877,5.6418
1562,Dolfinarium,52.3555,5.6145
1563,Badpaviljoen IJsselmeer,52.9359,5.4021
1564,De Hege Gerzen,52.8331,5.5448
1565,De Holle Poarte,53.0507,5.3766
1566,Europarcs Bad Hoophuizen,52.3851,5.7062
1568,Schellinkhouterdijk,52.6409,5.077
1569,Strand Horst Ganzenkamp,52.3233,5.571
1570,Houtribhoek,52.5488,5.4547
1572,Strand Voorland Stichtsebrug,52.2991,5.2993
1574,Mirnser Klif,52.8504,5.4809
1576,Laakse Strand De Wielewaal,52.2575,5.4396
1577,Lemsterstrand,52.843,5.699
1578,Vooroever; Vlietsingel Poel,52.7653,5.1188
1579,Molkwerum,52.9062,5.3974
1580,Muiderberg,52.3296,5.1192
1581,Almeerderstrand,52.3346,5.14
1582,Naarderbos,52.3177,5.1448
1583,Vooroever Het Nesbos,52.7552,5.1247
1585,Strand Nulde Noord Stranparc Nulde 1,52.2737,5.5368
1586,De Oude Pol,52.3925,5.7259
1588,Rivièra Beach Zuid,52.4429,5.8015
1589,Rivièra Beach Noord,52.4482,5.8063
1590,Strand Schardam,52.5938,5.0223
1591,Schellinkhout,52.6323,5.1206
1592,Strand Schokkerhaven,52.6118,5.7432
1593,"Slobbeland, Volendam",52.491,5.0717
1594,It Soal,52.9661,5.4114
1595,Recreatiepark 't Kleine Zeetje,52.2602,5.3762
1596,Spijkstrand,52.4538,5.8108
1597,It Suderstrand,52.8719,5.3699
1599,Strand Staversekade,52.6593,5.5948
1600,Warder,52.5666,5.0325
1601,Woldstrand,52.3265,5.5497
1604,Zilverstrand,52.3273,5.1479
1606,Watersportcentrum De Bijland,51.8655,6.0807
1607,Rhederlaag Giese Kop,51.9915,6.0549
1609,Recreatiepark De Scherpenhof,52.2982,6.1002
1610,Camping Ijsselstrand,52.0323,6.1597
1611,Tull en 't Waal West,51.9978,5.1313
1612,Tull en 't Waal Oost,51.9952,5.1391
1613,Strand Eiland Van Maurik,51.9745,5.423
1614,Zwanenbad,51.9376,5.9509
1615,Bemmelse Waard,51.8821,5.8995
1617,De Bisonbaai,51.8668,5.9335
1618,Middelwaard,51.9943,5.0762
1619,"Aakvlaai, Badstrand",51.7236,4.8646
1620,"De Hoge Waard, Camping Badstrand",51.78,5.0821
1621,De Mosterdpot,51.8192,5.0005
1622,De Neswaarden,51.7857,5.1154
1624,"Gat van de Kerksloot, Badstrand",51.7248,4.7708
1625,Spui Goudswaard,51.8034,4.28
1626,Haringvlietbrug Oost,51.7219,4.407
1627,Haringvlietbrug West,51.7218,4.4032
1628,Recreatieterrein Hellegatsplein,51.7063,4.3984
1629,Quackstrand,51.8415,4.074
1631,Vuurtoren Badstrand Hellevoetsluis,51.8208,4.125
1632,Hitsertsekade Zuid-Beijerland,51.7364,4.3681
1633,Middelharnis Badstrand,51.7721,4.1944
1634,"Noordergat van de Plomp, Badstrand",51.7196,4.7922
1636,"Rietplaat, Badstrand",51.7486,4.7778
1637,Recreatieterrein RWS Stellendam,51.825,4.0455
